Date,Area Name,Road Name,Congestion_Level,Average_Speed,Incident_Reports,Road_Capacity_Utilization,Pedestrian_and_Cyclist_Count,Public_Transport_Usage,Traffic_Signal_Compliance,Traffic_Volume,Weather_Condition,Roadwork_Activity
2023-09-04,Brigade Road,Road_2,71.1,25.6,2,76.7,163,57.2,88.3,1805,Haze,Major
2022-03-13,Marathahalli,Road_16,86.6,10.6,1,96.0,129,71.4,88.4,3351,Rain,Major
2023-01-18,Koramangala,Road_11,72.0,25.9,2,86.0,104,47.8,68.1,833,Rain,None
2022-08-02,Koramangala,Road_9,97.4,13.6,6,94.1,193,68.0,88.8,4157,Cloudy,Minor
2023-11-10,MG Road,Road_14,71.9,13.6,1,71.3,88,32.1,92.0,2934,Clear,Minor
2022-06-27,MG Road,Road_12,83.5,11.8,2,99.6,79,63.5,88.2,2874,Rain,Minor
2022-12-06,Brigade Road,Road_15,67.3,27.7,0,65.8,192,55.3,93.9,4296,Cloudy,None
2023-10-02,Brigade Road,Road_10,49.9,33.6,0,55.7,69,40.7,66.8,659,Rain,Major
2023-10-12,Koramangala,Road_5,79.5,15.7,3,74.7,88,51.7,84.8,4261,Rain,Major
2022-06-29,Marathahalli,Road_15,78.5,20.4,4,76.7,202,67.6,92.3,2470,Haze,Minor
2022-08-30,Electronic City,Road_8,75.4,10.2,2,77.8,229,57.6,68.0,4701,Rain,Minor
2022-04-27,Indiranagar,Road_8,63.6,27.2,0,65.9,112,51.0,79.8,1236,Cloudy,Major
2022-10-04,Koramangala,Road_7,78.8,20.3,0,80.6,118,36.7,94.3,4702,Haze,Major
2023-08-13,Indiranagar,Road_2,59.8,20.1,0,64.3,70,57.0,89.4,591,Cloudy,Minor
2023-07-26,Indiranagar,Road_14,64.8,22.7,1,72.6,183,50.1,68.1,4777,Cloudy,None
2023-10-21,Whitefield,Road_6,61.2,19.6,1,61.8,111,62.6,78.0,2213,Haze,None
2022-02-26,Whitefield,Road_11,68.7,25.2,1,66.2,182,65.9,83.5,4553,Haze,Minor
2024-07-15,Marathahalli,Road_12,66.0,18.2,0,75.0,148,51.3,64.2,3045,Rain,Minor
2022-09-03,MG Road,Road_15,75.6,18.2,0,77.9,131,42.8,94.3,800,Cloudy,Minor
2024-05-22,Electronic City,Road_10,68.1,23.0,0,83.4,178,40.5,81.3,4141,Clear,None
2023-07-05,Koramangala,Road_10,77.9,11.9,0,74.5,229,53.6,89.4,4324,Haze,Minor
2022-06-18,Electronic City,Road_2,82.9,14.9,1,80.9,125,41.3,82.5,3954,Rain,Major
2022-07-02,Brigade Road,Road_3,48.9,23.8,2,50.0,146,68.5,82.3,2610,Clear,Major
2022-09-16,Electronic City,Road_13,80.3,10.4,2,73.0,112,32.0,74.3,1866,Rain,Minor
2022-05-14,Marathahalli,Road_3,86.4,15.5,2,80.9,150,62.5,65.7,802,Haze,Major
2022-10-10,Koramangala,Road_10,88.9,16.2,2,100.0,210,69.8,85.1,1584,Cloudy,Major
2022-03-28,Koramangala,Road_16,77.3,13.4,0,80.5,63,31.3,85.4,4824,Rain,None
2024-07-25,Electronic City,Road_6,85.2,16.3,0,92.1,98,50.2,78.3,1502,Clear,Minor
2024-06-15,MG Road,Road_12,75.4,15.4,2,68.1,226,42.4,84.9,2964,Cloudy,None
2022-01-12,Koramangala,Road_4,75.6,23.6,0,92.6,145,56.6,73.2,2410,Haze,Minor
2022-04-17,MG Road,Road_16,59.6,18.6,0,69.5,183,53.1,70.2,538,Haze,Minor
2023-08-27,Marathahalli,Road_2,65.1,16.2,1,77.5,213,52.6,61.4,1171,Clear,Major
2023-12-05,Indiranagar,Road_2,52.9,26.2,0,64.2,86,43.7,83.9,1403,Clear,None
2024-08-05,MG Road,Road_16,43.1,29.8,0,57.3,54,73.8,78.5,3004,Clear,Minor
2022-05-18,Brigade Road,Road_2,63.6,20.8,1,64.8,88,57.5,70.0,4748,Rain,Minor
2023-09-12,Brigade Road,Road_4,77.0,19.6,1,60.1,148,46.0,86.5,2759,Haze,Major
2024-07-24,MG Road,Road_7,62.7,35.0,1,80.8,72,33.8,70.5,1390,Rain,Minor
2024-02-12,Electronic City,Road_12,72.6,19.4,1,81.5,122,35.6,91.7,4609,Clear,None
2022-09-11,Brigade Road,Road_10,74.5,16.2,1,79.1,234,62.4,69.0,4964,Clear,Major
2024-07-19,Whitefield,Road_3,63.5,20.6,0,79.0,235,71.9,70.7,3265,Clear,Major
2022-07-24,MG Road,Road_3,80.8,20.8,0,87.4,224,41.1,76.6,3032,Cloudy,None
2023-05-17,Koramangala,Road_9,75.8,17.3,1,94.4,164,38.3,89.3,3472,Rain,Major
2022-12-12,Indiranagar,Road_10,66.3,26.5,1,79.8,221,59.2,69.1,1544,Clear,Major
2023-05-26,Marathahalli,Road_12,64.2,27.3,0,82.9,127,42.2,67.9,2545,Cloudy,Major
2023-03-15,Silk Board,Road_9,56.4,18.1,0,62.4,112,39.9,73.2,4588,Clear,Major
2022-10-29,Brigade Road,Road_13,70.8,21.5,2,73.6,216,38.0,85.9,1187,Cloudy,None
2022-11-01,Brigade Road,Road_16,52.2,20.5,1,60.1,152,33.7,62.2,1777,Cloudy,Major
2024-01-02,Indiranagar,Road_3,66.1,23.9,0,72.0,214,54.4,72.8,2164,Rain,None
2022-10-29,Marathahalli,Road_3,61.1,18.9,0,65.1,53,30.3,61.8,904,Haze,Minor
2022-03-18,Brigade Road,Road_2,67.9,26.0,1,74.1,223,74.5,76.0,2230,Clear,Minor
2024-05-30,MG Road,Road_10,78.1,14.3,2,91.6,78,41.7,60.1,2872,Rain,Minor
2023-09-13,Brigade Road,Road_2,79.9,18.7,0,73.3,62,67.4,74.1,3859,Haze,None
2023-08-03,Marathahalli,Road_12,71.7,17.0,1,79.9,163,60.4,77.8,2239,Cloudy,Major
2024-01-28,Marathahalli,Road_12,74.8,12.1,0,88.6,56,43.9,91.7,4776,Rain,Major
2024-05-25,Electronic City,Road_13,97.1,11.1,3,100.0,152,75.0,77.7,2796,Haze,Minor
2023-03-26,Electronic City,Road_13,79.5,16.3,1,74.2,77,37.5,60.3,4247,Rain,None
2022-06-04,Marathahalli,Road_16,72.6,21.7,2,69.4,94,37.0,89.9,2764,Clear,Major
2022-10-10,Electronic City,Road_11,79.8,14.0,0,74.1,94,58.2,84.7,1201,Clear,Major
2024-01-28,Koramangala,Road_1,66.8,24.5,1,77.7,225,67.9,87.2,3007,Haze,None
2023-07-30,Koramangala,Road_3,82.1,12.9,1,91.1,211,51.7,90.1,2443,Clear,Major
2022-05-06,Indiranagar,Road_5,66.1,28.0,0,69.6,237,34.9,72.4,4917,Clear,Major
2023-10-26,Electronic City,Road_11,52.1,27.1,0,57.0,113,72.3,69.8,2085,Haze,Minor
2022-05-22,Indiranagar,Road_10,99.0,11.3,0,96.6,226,53.8,74.2,3753,Cloudy,None
2024-07-24,MG Road,Road_16,66.7,20.8,0,79.4,84,45.4,81.3,1294,Rain,Minor
2024-04-17,Indiranagar,Road_6,68.8,25.0,0,81.6,97,59.3,87.6,4021,Clear,None
2024-01-24,Marathahalli,Road_16,69.2,19.2,0,75.8,92,38.8,86.2,2722,Haze,Major
2023-02-09,Marathahalli,Road_4,66.5,27.1,0,75.9,58,39.8,72.6,1010,Rain,Major
2023-04-08,Electronic City,Road_14,79.3,17.9,1,72.5,248,60.5,68.3,4551,Rain,Major
2023-07-09,Whitefield,Road_14,74.3,21.3,0,71.9,237,70.7,88.8,4486,Cloudy,None
2022-11-28,Indiranagar,Road_2,74.6,21.2,0,91.0,149,43.9,80.2,3356,Haze,None
2023-12-25,Marathahalli,Road_4,57.2,23.6,1,56.5,123,57.3,74.4,3108,Rain,None
2022-06-03,Electronic City,Road_8,74.8,12.2,0,77.6,243,43.0,84.0,1188,Clear,None
2022-03-01,Koramangala,Road_12,70.3,21.5,3,86.3,105,64.6,81.6,2597,Haze,Minor
2023-11-24,Marathahalli,Road_5,72.5,25.4,1,89.3,73,53.6,60.8,3931,Rain,Minor
2023-04-20,Electronic City,Road_2,51.7,21.6,0,61.5,141,38.1,82.6,4135,Cloudy,Major
2024-07-12,Indiranagar,Road_3,68.0,26.2,2,75.3,75,66.3,66.8,3587,Clear,Minor
2024-03-28,Indiranagar,Road_9,72.9,19.8,0,91.0,151,71.3,78.0,4163,Clear,None
2022-09-07,Whitefield,Road_16,62.8,20.8,0,82.5,129,57.6,68.2,667,Clear,None
2023-02-22,Marathahalli,Road_15,62.9,30.1,2,82.7,187,31.2,91.8,4394,Clear,Minor
2024-04-14,Marathahalli,Road_9,57.9,22.2,1,61.9,157,73.1,90.5,2148,Cloudy,Minor
2022-11-30,Koramangala,Road_15,72.5,21.7,2,85.4,166,60.3,90.9,4848,Cloudy,Minor
2022-03-13,Koramangala,Road_6,77.3,15.2,1,83.5,80,35.0,83.3,1062,Haze,Minor
2024-01-17,Electronic City,Road_15,49.7,29.9,0,66.6,180,43.5,87.4,4899,Rain,Minor
2022-02-06,Brigade Road,Road_3,59.9,25.8,2,57.1,197,39.4,62.7,1070,Rain,Minor
2023-10-15,Marathahalli,Road_1,64.5,20.3,1,70.7,54,57.8,86.8,2065,Haze,Minor
2022-06-17,MG Road,Road_3,87.0,15.2,3,100.0,59,64.3,87.3,3096,Cloudy,None
2024-07-13,Silk Board,Road_3,57.1,23.9,0,60.4,88,49.4,65.1,3342,Haze,None
2022-12-27,Marathahalli,Road_15,64.4,30.8,1,72.3,63,59.4,69.7,1026,Cloudy,Major
2023-11-11,Koramangala,Road_2,79.6,21.7,3,88.0,216,71.0,72.3,4606,Clear,Major
2024-08-17,Silk Board,Road_4,48.7,26.1,0,50.0,56,72.8,77.3,3792,Haze,Minor
2022-03-26,Koramangala,Road_13,69.3,28.4,0,86.5,205,51.3,82.2,1924,Rain,None
2023-10-06,Whitefield,Road_12,79.7,14.3,1,78.2,140,64.4,73.4,1553,Haze,Major
2022-01-27,MG Road,Road_16,61.6,28.6,0,81.8,124,73.8,76.5,2033,Clear,None
2022-06-19,Koramangala,Road_16,68.6,13.6,1,86.6,152,68.2,83.8,1597,Haze,Minor
2023-10-10,Silk Board,Road_9,71.1,19.1,1,88.4,138,47.7,79.5,3291,Haze,Minor
2023-02-07,Indiranagar,Road_15,56.1,28.6,0,50.0,124,71.7,86.6,2525,Haze,Minor
2024-05-27,Electronic City,Road_6,73.2,21.4,2,79.6,57,59.9,71.4,2379,Haze,Major
2023-07-12,Whitefield,Road_9,67.5,25.0,1,71.5,120,44.8,72.8,1994,Clear,Major
2023-11-08,Whitefield,Road_5,90.7,14.9,0,76.1,134,57.6,60.6,846,Clear,None
2022-07-13,Electronic City,Road_10,77.0,17.7,1,81.6,121,54.2,62.4,4994,Clear,Minor
2022-07-29,Electronic City,Road_6,73.2,15.1,1,83.6,74,42.1,85.6,4927,Rain,None
2022-07-05,Silk Board,Road_15,73.7,17.8,1,70.8,50,70.4,77.1,4681,Clear,Minor
2024-06-24,Whitefield,Road_3,67.6,12.2,0,79.6,117,47.9,61.6,2849,Clear,None
2023-05-01,Silk Board,Road_1,56.5,22.2,0,50.0,54,55.4,86.0,1636,Cloudy,None
2022-09-22,Brigade Road,Road_16,70.0,18.9,0,78.4,83,66.0,94.5,3065,Cloudy,Major
2023-12-09,Whitefield,Road_7,63.7,21.4,0,80.1,225,65.3,74.1,4846,Haze,Minor
2023-10-20,Electronic City,Road_13,79.8,21.1,1,97.1,176,37.4,62.5,1687,Clear,Major
2022-11-08,Electronic City,Road_9,78.4,14.5,2,76.4,161,40.8,62.2,1754,Clear,None
2022-09-11,Silk Board,Road_3,68.1,24.1,0,76.0,141,41.0,87.7,4392,Haze,None
2023-03-03,Silk Board,Road_3,64.3,24.4,1,66.9,64,30.6,68.2,4854,Cloudy,None
2022-12-29,Indiranagar,Road_13,79.6,10.8,1,89.3,193,40.8,70.7,2193,Rain,Minor
2022-04-29,Indiranagar,Road_7,70.9,24.9,0,70.9,153,65.5,68.8,1338,Clear,None
2023-01-03,MG Road,Road_8,60.8,23.5,1,65.9,183,37.2,76.9,3624,Cloudy,None
2023-07-26,MG Road,Road_9,69.6,17.0,1,74.5,233,54.2,75.7,4510,Rain,Major
2022-04-19,Koramangala,Road_15,82.3,15.4,3,88.2,228,45.7,74.3,3974,Clear,Major
2023-06-13,MG Road,Road_16,43.8,26.4,0,51.4,247,59.2,92.8,1655,Haze,Major
2024-07-29,Whitefield,Road_6,61.7,26.6,0,54.1,110,40.4,79.3,1500,Rain,None
2022-06-20,Indiranagar,Road_7,72.2,14.7,0,68.0,209,47.6,88.4,1143,Cloudy,None
2023-05-12,Brigade Road,Road_3,91.2,12.8,2,99.3,55,50.4,80.9,2929,Clear,Minor
2022-04-24,Brigade Road,Road_6,72.2,19.6,1,76.2,150,60.5,87.1,4924,Clear,Minor
2022-10-23,Electronic City,Road_13,72.5,15.0,4,79.8,75,68.0,78.1,3694,Clear,None
2022-05-11,Indiranagar,Road_16,79.4,13.7,3,85.1,61,43.2,61.1,2060,Cloudy,Minor
2022-08-04,Electronic City,Road_6,70.9,15.0,1,83.2,207,45.7,73.6,2579,Clear,Major
2022-09-01,Koramangala,Road_5,53.6,36.3,0,51.9,94,60.7,63.2,2786,Haze,Minor
2022-05-08,Koramangala,Road_10,92.1,9.5,0,95.1,204,74.0,64.1,4298,Haze,Minor
2024-06-21,Brigade Road,Road_12,55.1,25.0,0,50.0,179,64.1,69.6,2445,Haze,Major
2023-09-12,Silk Board,Road_8,65.3,21.0,0,78.9,233,68.2,73.4,3997,Clear,Major
2023-03-28,Koramangala,Road_4,89.2,14.1,2,90.2,66,35.3,63.5,794,Clear,Major
2022-09-27,Electronic City,Road_10,70.4,20.2,1,63.3,170,40.8,81.5,719,Rain,Minor
2023-01-07,MG Road,Road_12,56.9,27.0,0,71.0,217,58.7,61.5,4224,Rain,None
2024-02-06,Whitefield,Road_9,75.1,12.0,0,72.7,144,60.8,88.0,1716,Haze,None
2022-11-26,Koramangala,Road_2,81.1,22.3,0,82.4,160,71.2,87.3,2359,Clear,Major
2024-08-15,Indiranagar,Road_11,88.7,13.6,1,93.9,95,68.2,87.2,3446,Clear,Minor
2022-09-10,Koramangala,Road_2,72.6,32.4,1,87.2,231,73.9,83.4,923,Haze,None
2023-05-30,Brigade Road,Road_13,71.8,21.7,1,73.9,228,32.1,81.6,543,Rain,Major
2023-02-22,Brigade Road,Road_8,72.3,16.8,0,78.7,88,61.6,74.6,2498,Cloudy,None
2022-07-24,Brigade Road,Road_6,71.6,17.6,4,67.1,137,60.0,83.7,1650,Cloudy,Minor
2023-11-09,Brigade Road,Road_9,50.6,30.1,0,56.1,133,43.9,90.0,1252,Rain,None
2024-02-13,Whitefield,Road_4,89.7,11.2,0,98.7,233,66.3,77.6,3919,Clear,None
2024-07-03,Brigade Road,Road_9,64.1,18.0,0,71.9,56,58.0,75.0,2411,Rain,Minor
2023-06-16,Brigade Road,Road_1,68.2,20.5,2,67.9,110,49.0,69.5,4625,Clear,Major
2023-09-21,Silk Board,Road_2,67.1,19.9,0,73.6,172,67.8,88.1,715,Clear,None
2023-05-08,Whitefield,Road_6,56.3,21.4,1,65.7,81,62.8,93.9,4103,Clear,None
2023-06-02,Silk Board,Road_15,76.7,25.8,0,77.8,69,51.4,75.9,2266,Cloudy,Major
2022-07-12,Koramangala,Road_14,70.4,21.3,1,72.5,247,41.8,63.0,3424,Rain,Minor
2023-08-30,Indiranagar,Road_5,78.2,14.8,1,94.3,224,48.5,61.6,2638,Cloudy,Major
2022-04-11,Koramangala,Road_1,78.0,14.3,0,99.6,150,71.1,69.7,2535,Cloudy,Minor
2022-06-22,Electronic City,Road_12,96.2,13.2,2,100.0,215,42.1,71.1,4490,Cloudy,None
2022-08-20,Koramangala,Road_2,84.8,18.2,1,89.6,111,59.4,84.0,4943,Haze,None
2023-05-24,Whitefield,Road_2,78.4,12.9,0,78.0,108,69.3,90.8,1514,Rain,None
2024-07-07,Whitefield,Road_6,68.0,19.8,0,73.3,201,55.7,93.0,982,Haze,Minor
2023-08-20,Indiranagar,Road_16,74.9,20.8,2,67.5,231,52.6,91.8,1775,Rain,None
2024-01-06,Whitefield,Road_16,68.7,20.0,1,78.2,73,32.8,76.8,3619,Cloudy,None
2023-09-11,Koramangala,Road_4,63.3,26.1,1,68.0,245,39.1,78.0,4560,Haze,Major
2022-11-03,MG Road,Road_12,46.8,27.5,0,50.0,246,45.9,76.4,2140,Rain,None
2022-08-20,MG Road,Road_12,71.4,23.2,0,81.2,83,53.4,64.8,4793,Clear,Minor
2023-07-25,Indiranagar,Road_10,78.3,18.7,1,90.4,240,44.6,71.6,1940,Cloudy,Major
2023-05-18,MG Road,Road_3,86.7,11.6,2,95.5,104,56.8,76.8,3290,Rain,Major
2023-12-07,Electronic City,Road_5,83.4,14.6,0,87.7,210,70.7,76.7,1449,Cloudy,Minor
2023-04-18,MG Road,Road_6,81.2,19.1,0,97.9,153,66.5,68.6,1871,Haze,None
2023-10-02,MG Road,Road_10,74.6,21.4,1,76.4,51,49.0,62.5,1946,Rain,None
2022-07-21,Indiranagar,Road_11,85.4,20.3,1,100.0,144,43.3,78.3,2717,Clear,None
2024-04-22,MG Road,Road_9,77.6,23.4,2,83.2,194,30.4,90.6,827,Cloudy,None
2023-09-15,Silk Board,Road_8,69.8,25.6,0,75.9,96,39.2,69.1,2010,Cloudy,Major
2023-12-26,Brigade Road,Road_3,49.6,29.2,0,62.8,114,51.2,91.0,3830,Haze,Minor
2023-07-28,Koramangala,Road_15,83.5,16.3,1,84.8,131,49.7,66.0,2573,Haze,Minor
2023-12-11,MG Road,Road_11,54.0,30.3,0,59.6,145,66.5,66.6,2983,Clear,None
2022-01-17,Whitefield,Road_3,64.2,28.7,0,66.1,142,62.1,95.0,681,Clear,Minor
2022-10-12,Koramangala,Road_7,71.2,22.6,1,75.5,86,37.1,73.4,656,Rain,Minor
2023-09-28,Silk Board,Road_2,61.4,30.5,1,63.0,228,63.2,72.6,3986,Cloudy,Major
2024-01-04,Brigade Road,Road_5,81.1,11.7,2,99.4,70,37.5,84.4,2818,Haze,None
2022-10-22,Brigade Road,Road_5,49.4,27.2,0,65.8,75,50.4,91.3,3821,Rain,None
2023-12-30,Koramangala,Road_2,78.7,21.8,0,74.7,151,67.9,66.4,2722,Cloudy,Minor
2024-06-23,Brigade Road,Road_2,43.9,31.7,0,54.1,211,65.1,84.1,1551,Clear,Major
2023-02-11,MG Road,Road_14,59.4,28.7,0,55.4,147,72.2,84.5,4668,Rain,None
2022-11-21,Koramangala,Road_8,85.6,17.2,1,95.7,88,68.0,67.1,2586,Clear,Major
2024-07-19,Marathahalli,Road_5,68.2,19.5,0,68.9,59,56.6,76.7,1952,Clear,Major
2022-09-22,Silk Board,Road_11,47.7,28.2,0,55.1,186,38.6,64.6,2973,Rain,Major
2022-08-10,Koramangala,Road_5,68.4,17.8,0,74.3,217,74.9,78.1,569,Rain,Minor
2023-04-01,Silk Board,Road_11,78.4,16.6,4,97.0,145,50.3,71.4,2578,Haze,None
2024-05-20,MG Road,Road_3,67.5,16.2,1,72.6,161,66.8,84.6,629,Haze,None
2024-03-19,Electronic City,Road_3,88.9,15.8,0,100.0,140,41.7,64.5,2019,Rain,Major
2023-11-18,MG Road,Road_13,80.8,15.1,0,87.4,121,31.8,60.1,2728,Clear,Minor
2023-06-07,Indiranagar,Road_3,52.3,25.6,0,65.9,161,46.5,63.4,3189,Rain,None
2023-03-20,Indiranagar,Road_6,93.7,9.6,1,100.0,233,44.0,75.0,4926,Rain,None
2022-02-20,Koramangala,Road_13,59.2,26.8,1,83.2,139,69.2,78.0,3942,Haze,None
2022-12-20,MG Road,Road_11,73.7,22.5,1,78.1,214,44.4,82.5,4633,Rain,Minor
2023-06-20,Electronic City,Road_15,80.7,21.3,0,76.3,139,43.6,63.6,3542,Haze,Major
2022-12-20,Whitefield,Road_1,71.4,16.7,2,82.2,183,49.0,80.3,1950,Haze,Minor
2022-06-09,MG Road,Road_8,74.7,15.4,1,78.8,149,70.7,86.4,2730,Rain,None
2023-09-17,Electronic City,Road_2,63.2,29.2,0,59.1,202,58.5,90.2,4650,Haze,Major
2022-06-18,Brigade Road,Road_16,56.7,14.4,2,60.7,150,55.0,87.2,1943,Haze,Minor
2023-02-16,MG Road,Road_15,63.6,30.1,1,68.5,74,51.1,80.3,4003,Cloudy,Major
2024-05-15,Whitefield,Road_12,76.8,16.6,3,81.4,112,63.0,61.6,4844,Clear,Minor
2023-05-12,Brigade Road,Road_4,67.1,24.3,1,86.8,225,54.7,81.9,2243,Rain,Major
2023-11-25,Whitefield,Road_7,79.7,19.3,0,92.1,224,70.7,61.9,4286,Clear,Major
2024-02-17,Silk Board,Road_13,54.4,24.6,0,50.0,229,51.4,90.2,3571,Rain,Minor
2022-08-09,Brigade Road,Road_15,66.0,25.4,0,65.0,97,54.0,70.1,4018,Haze,Major
2023-04-28,Marathahalli,Road_5,77.7,17.5,3,75.6,247,34.5,93.7,3500,Haze,None
2022-01-22,Koramangala,Road_6,75.4,16.7,3,75.9,160,69.3,69.9,2194,Clear,None
2023-12-10,Indiranagar,Road_13,80.2,19.7,0,80.5,131,38.7,87.8,2695,Rain,Major
2022-04-20,Electronic City,Road_13,63.9,24.8,0,50.0,220,55.4,75.1,2641,Clear,Major
2024-05-11,Silk Board,Road_3,64.5,21.8,1,66.3,56,46.3,73.9,2710,Haze,Major
2023-11-02,Electronic City,Road_3,91.6,11.0,3,85.1,222,31.8,69.6,4384,Clear,Major
2023-10-18,Silk Board,Road_2,76.2,10.1,0,85.1,170,63.5,60.4,2294,Clear,Major
2022-04-13,Brigade Road,Road_12,84.2,15.7,2,85.6,167,48.7,70.7,3261,Cloudy,None
2024-02-28,Whitefield,Road_1,76.0,16.2,2,81.3,90,65.2,90.1,2735,Rain,Major
2022-06-19,Whitefield,Road_16,48.3,26.7,0,57.0,103,34.0,94.2,749,Rain,None
2022-12-11,Koramangala,Road_2,80.0,13.7,1,88.1,78,63.2,85.7,2460,Haze,Major
2022-01-22,Marathahalli,Road_15,92.3,15.8,1,94.5,149,36.3,64.6,3737,Haze,Major
2022-06-15,Marathahalli,Road_3,68.6,23.1,1,70.3,115,75.0,87.5,2022,Cloudy,Minor
2022-07-11,Electronic City,Road_11,73.6,16.3,1,83.0,249,52.7,71.2,4707,Clear,Major
2022-06-14,MG Road,Road_1,64.6,23.0,0,64.9,210,63.7,81.1,4963,Cloudy,Minor
2024-04-01,Brigade Road,Road_16,77.2,13.6,0,94.7,225,41.6,62.9,4154,Haze,Major
2022-08-06,Koramangala,Road_5,76.6,19.0,0,71.9,62,73.7,82.7,4100,Clear,Minor
2023-06-29,Electronic City,Road_11,64.0,22.3,2,81.4,206,60.0,69.3,1579,Rain,Minor
2024-08-11,Whitefield,Road_9,58.2,24.8,0,68.5,65,73.2,89.9,4918,Clear,Minor
2024-01-04,Brigade Road,Road_5,73.0,18.4,1,68.7,113,35.0,71.8,1232,Cloudy,Major
2024-05-07,Marathahalli,Road_11,78.9,17.1,0,78.7,105,36.9,89.2,3844,Clear,Major
2022-02-01,Indiranagar,Road_5,62.1,24.5,0,75.9,202,74.5,70.5,3775,Cloudy,Minor
2022-08-30,Whitefield,Road_15,69.1,19.3,2,72.6,192,66.8,62.2,1808,Cloudy,None
2022-07-01,Whitefield,Road_13,78.6,20.9,1,96.5,120,63.6,66.9,1051,Haze,Minor
2024-01-26,Marathahalli,Road_2,59.8,24.9,1,75.0,190,73.7,61.2,4183,Rain,Minor
2022-11-05,Whitefield,Road_3,73.5,22.5,1,85.2,124,61.5,69.7,3482,Cloudy,Major
2023-11-15,Silk Board,Road_4,56.4,21.1,1,52.6,137,30.0,79.1,4158,Haze,Minor
2022-10-31,Koramangala,Road_4,67.7,18.3,0,81.0,130,66.4,80.7,1892,Rain,Major
2024-02-18,Indiranagar,Road_14,84.4,16.2,1,95.1,224,69.6,81.5,4642,Cloudy,None
2023-02-03,Marathahalli,Road_11,90.4,13.8,2,93.4,183,42.6,76.1,2091,Clear,Major
2022-07-04,Marathahalli,Road_4,74.8,19.2,0,87.6,210,62.6,76.9,2316,Cloudy,Major
2022-09-12,Silk Board,Road_1,59.1,21.6,0,57.9,137,54.8,73.3,1910,Rain,Minor
2022-07-10,Brigade Road,Road_9,76.1,18.2,2,81.0,188,43.5,60.8,3952,Clear,Minor
2023-11-06,Marathahalli,Road_7,75.7,17.2,1,86.2,122,69.7,66.5,2507,Rain,Major
2022-08-09,Indiranagar,Road_14,99.0,10.5,3,93.9,222,71.9,64.2,4137,Cloudy,Major
2022-02-09,Silk Board,Road_11,65.1,23.7,0,73.3,183,46.5,90.5,1963,Rain,Minor
2022-09-14,Electronic City,Road_16,68.2,22.6,1,69.5,220,73.9,70.9,1377,Cloudy,Minor
2024-01-23,Silk Board,Road_7,85.9,10.8,0,85.9,66,39.8,68.2,2594,Haze,Minor
2024-06-02,Silk Board,Road_13,85.8,12.3,3,90.2,119,54.8,78.2,1205,Clear,Minor
2022-01-07,Marathahalli,Road_9,71.3,19.5,0,84.5,200,35.1,69.2,1996,Haze,Major
2022-08-27,MG Road,Road_14,63.9,29.5,1,68.9,98,33.2,68.9,2103,Rain,Major
2022-05-02,MG Road,Road_15,73.1,12.4,2,79.0,175,32.4,66.1,1057,Clear,None
2024-02-07,Silk Board,Road_12,59.6,20.0,1,68.8,185,40.0,93.4,4471,Cloudy,Minor
2022-08-10,Indiranagar,Road_3,81.2,13.6,1,78.7,90,68.0,64.0,4331,Cloudy,Minor
2022-01-02,Marathahalli,Road_14,74.0,24.5,1,57.9,75,33.8,84.1,1025,Cloudy,Minor
2022-03-29,Indiranagar,Road_11,49.6,20.9,0,59.3,164,48.7,86.6,3766,Haze,Major
2023-08-01,Electronic City,Road_6,79.1,16.8,1,92.3,147,45.5,83.1,689,Haze,Major
2023-03-24,Whitefield,Road_10,78.5,21.3,1,93.4,223,59.5,73.8,1917,Rain,Minor
2022-01-01,Koramangala,Road_16,66.1,12.1,2,61.5,215,67.3,82.4,3548,Clear,Minor
2022-03-04,Electronic City,Road_10,71.6,19.4,0,73.8,55,38.5,62.5,3566,Haze,Minor
2023-05-26,MG Road,Road_1,70.3,22.2,2,67.4,127,63.2,63.0,3458,Clear,Major
2023-01-22,Marathahalli,Road_9,72.8,22.3,0,80.4,122,41.9,77.4,3990,Cloudy,Minor
2023-07-26,Silk Board,Road_16,96.0,9.5,3,100.0,236,60.0,74.5,4332,Cloudy,Major
2022-12-20,Indiranagar,Road_15,74.1,17.5,1,75.7,215,57.7,87.1,763,Rain,None
2024-08-13,Marathahalli,Road_9,60.2,20.6,1,64.6,174,46.8,76.3,1907,Clear,Major
2024-06-03,MG Road,Road_7,79.4,20.3,1,93.2,135,39.5,88.6,4586,Rain,None
2022-01-24,Indiranagar,Road_9,67.6,22.0,2,68.4,96,69.5,72.2,4698,Clear,Major
2022-10-07,MG Road,Road_14,87.7,11.2,4,96.4,147,53.3,86.1,4812,Rain,None
2022-12-12,Whitefield,Road_12,54.0,27.8,0,53.8,195,31.9,60.6,4558,Rain,Minor
2024-02-04,Whitefield,Road_12,61.3,24.4,0,55.7,171,57.8,80.2,2043,Haze,Minor
2022-05-31,Whitefield,Road_11,70.9,16.3,1,82.0,68,36.3,89.7,3131,Haze,Minor
2023-06-13,Indiranagar,Road_14,61.3,23.5,1,71.1,202,67.1,83.7,4486,Cloudy,None
2023-11-25,Whitefield,Road_3,86.4,24.2,1,85.7,231,69.3,68.9,1371,Haze,Major
2023-11-09,Marathahalli,Road_3,83.5,14.4,1,85.2,197,33.6,78.2,4548,Haze,None
2024-01-19,Indiranagar,Road_12,79.5,25.7,2,96.6,240,45.6,88.1,3343,Haze,Minor
